名字,品质,类别,图片,价格,重量,长x宽
资料：商业文件,蓝,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15070040002.png,11396,0,1x1
实验数据,红,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15070040003.png,353754,0,1x1
量子存储,红,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15070050001.png,426430,0,1x1
资料：军事情报,紫,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15070050002.png,19233,0,1x1
情报文件,蓝,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15070050003.png,22367,0,1x2
非洲鼓,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080010003.png,6420,5,1x2
太阳碟,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080010004.png,7786,0,2x2
棘龙爪化石,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080040001.png,525060,1,2x1
海盗弯刀,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080040002.png,54059,2,1x1
犄角墙饰,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080040003.png,27520,1,2x1
残弹挂坠,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080040004.png,5225,0,1x1
非洲木雕,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080040005.png,6372,1,1x2
后妃耳环,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050001.png,21022,0,1x1
纯金打火机,金,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050002.png,93438,0,1x1
滑膛枪展品,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050003.png,1024259,4,4x1
功绩勋章,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050004.png,123320,0,1x1
非洲之心,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050006.png,19417658,1,1x1
锈迹斑斑的海盗铜币,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050007.png,3937,0,1x1
古怪的海盗银币,蓝,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050008.png,14051,1,1x1
亮闪闪的海盗金币,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050009.png,87735,1,1x1
万足金条,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050010.png,500855,4,1x2
古老的海盗望远镜,蓝,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050011.png,17273,1,1x2
“起舞的女郎”挂饰,蓝,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050012.png,23283,0,1x2
雷斯的乐谱本,金,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050013.png,125279,0,1x2
赛伊德的怀表,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050014.png,325842,0,1x1
阿萨拉特色酒杯,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050015.png,94944,0,1x1
阿萨拉特色酒壶,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050016.png,37601,1,1x2
阿萨拉特色陶瓷,绿,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050017.png,8784,4,2x2
黄金饰章,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050018.png,33191,1,1x2
酒店宣传海报,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050019.png,7092,0,2x2
阿萨拉新闻周刊,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050020.png,8706,0,2x2
阿萨拉时尚周刊,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050021.png,27087,0,2x2
阿萨拉娱乐月刊,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050022.png,7784,0,2x2
初级子弹生产零件,蓝,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050023.png,32870,0,1x2
中级子弹生产零件,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050024.png,,1,2x2
高级子弹生产零件,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050025.png,,2,3x2
三角洲特种部队：黑鹰坠落-战队之刃,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050026.png,15601,0,1x1
三角洲特种部队：刺刀特遣队,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050027.png,17303,0,1x1
曼德尔超算单元,红,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050030.png,3043544,5,3x3
便携军用雷达,红,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050031.png,3209702,10,3x3
军用信息终端,红,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050032.png,1386933,3,3x2
军用卫星通讯仪,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050033.png,298744,2,2x2
单反相机,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050034.png,198257,1,2x2
军用望远镜,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050035.png,145377,0,2x2
军用热像仪,紫,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050036.png,111998,2,2x3
广角镜头,紫,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050037.png,78560,1,2x1
专业声卡,紫,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050038.png,57318,1,2x1
电子温度计,蓝,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050039.png,26921,1,2x2
主战坦克模型,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050040.png,3294214,3,3x3
步战车模型,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050041.png,1984334,2,3x2
名贵机械表,红,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050042.png,318704,0,1x1
仪典匕首,紫,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050043.png,166194,1,3x2
绝密服务器,红,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050044.png,3199268,6,3x3
加密路由器,紫,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050045.png,70868,2,2x2
扑克牌-10,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050046.png,4915,0,1x1
扑克牌-9,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050047.png,4521,0,1x1
扑克牌-8,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050048.png,5137,0,1x1
扑克牌-7,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050049.png,3436,0,1x1
扑克牌-6,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050050.png,7810,0,1x1
扑克牌-5,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050051.png,5519,0,1x1
扑克牌-4,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050052.png,5992,0,1x1
扑克牌-3,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050053.png,6379,0,1x1
扑克牌-2,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050054.png,5319,0,1x1
扑克牌-A,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050055.png,10491,0,1x1
资料残页,白,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050056.png,1355,0,1x1
无菌敷料包,紫,医疗道具,https://playerhub.df.qq.com/playerhub/60004/object/15080050057.png,75136,1,1x2
自动体外除颤器,红,医疗道具,https://playerhub.df.qq.com/playerhub/60004/object/15080050058.png,2092099,1,2x3
扑克牌-小王,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050059.png,17387,0,1x1
扑克牌-大王,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050060.png,15159,0,1x1
云存储阵列,红,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050061.png,2072015,4,3x2
阵列服务器,金,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050062.png,1035504,10,4x3
哈夫克机密档案,金,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050063.png,,0,1x2
阿萨拉卫队机密档案,紫,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050064.png,36371,0,1x2
骨锯,蓝,医疗道具,https://playerhub.df.qq.com/playerhub/60004/object/15080050065.png,33537,2,3x1
扫拖一体机器人,红,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050066.png,3041556,6,3x3
强力吸尘器,红,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050067.png,2167190,5,2x3
胶囊咖啡机套组,紫,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050068.png,59652,4,2x2
高级咖啡豆,红,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050069.png,,1,1x2
三角洲特种部队：黑鹰坠落（盒装版）,紫,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050070.png,,0,1x2
盒装挂耳咖啡,金,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050071.png,545801,1,1x2
摩卡咖啡壶,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050072.png,22735,1,1x2
维生素泡腾片,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050073.png,15141,0,1x1
英式袋泡茶,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050074.png,21787,0,1x1
木雕烟斗,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050075.png,22437,0,2x1
糖三角,蓝,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050076.png,18373,0,1x1
调料套组,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050077.png,10273,0,2x2
袋装咖啡豆,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050078.png,8221,0,1x2
当地再制咖啡,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050079.png,4323,0,1x1
强力胶,绿,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050080.png,4442,0,1x1
胡椒瓶,白,家居物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050081.png,2655,0,1x1
本地特色首饰,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050082.png,571336,3,3x2
座钟,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050083.png,303466,3,2x2
石工锤,绿,工具材料,https://playerhub.df.qq.com/playerhub/60004/object/15080050084.png,19730,5,3x1
羊角锤,白,工具材料,https://playerhub.df.qq.com/playerhub/60004/object/15080050085.png,5543,3,2x1
一盒钉子,白,工具材料,https://playerhub.df.qq.com/playerhub/60004/object/15080050086.png,4200,1,1x1
手锯,绿,工具材料,https://playerhub.df.qq.com/playerhub/60004/object/15080050087.png,17994,2,3x1
大型电台,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050088.png,652798,7,3x2
军用弹道计算机,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050089.png,138707,3,2x1
高速固态硬盘,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050090.png,113352,0,1x1
便携音响,紫,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050091.png,41504,2,2x1
卫队金扳指,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050092.png,171605,0,1x1
优秀雇员奖杯,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050093.png,129231,0,1x1
赛伊德的手弩,金,工艺藏品,https://playerhub.df.qq.com/playerhub/60004/object/15080050094.png,128756,2,2x1
脑机控制端子,金,电子物品,https://playerhub.df.qq.com/playerhub/60004/object/15080050095.png,89587,0,1x1
军情录音,蓝,资料情报,https://playerhub.df.qq.com/playerhub/60004/object/15080050096.png,39944,1,1x3
复苏呼吸机,红,医疗道具,https://playerhub.df.qq.com/playerhub/60004/object/15080050097.png,7689363,5,3x3
微型反应炉,红,能源燃料,https://playerhub.df.qq.com/playerhub/60004/object/15080050098.png,6504461,10,3x3
装甲车电池,红,能源燃料,https://playerhub.df.qq.com/playerhub/60004/object/15080050099.png,5838965,15,3x2
动力电池组,红,能源燃料,https://playerhub.df.qq.com/playerhub/60004/object/15080050100.png,2672263,20,4x3
固体燃料,金,能源燃料,https://playerhub.df.qq.com/playerhub/60004/object/15080050101.png,103431,2,1x1
